Title,Date,Date Start,Date End,Language,Resource Type,Genre,Number of Items
"Antiquités mexicaines. Relation des trois expéditions du capitaine Dupaix, ordonnées en 1805, 1806, et 1807, pour la recherche des antiquités du pays, notamment celles de Mitla et de Palenque; accompagnée des dessins de Castañeda et d'une carte du pays exploré; suivie d'un parallèle de ces monuments avec ceux de l'Égypte, de l'Indostan, et du reste de l'ancien monde, par M. Alexandre Lenoir, d'une dissertation sur l'origine de l'ancienne population des deux Amériques et sur les diverses antiquités de ce continent, par M. Warden, avec un discours préliminaire par M. Charles Farcy, et des notes explicatives, et autres documents, par MM. Baradère, de St. Priest, et plusieurs voyageurs que ont parcouru l'Amérique.",1834,1834,1836,,,,6
Nightclubs and theaters,1920,1920,1989,,still image,Photographs,2
"L'Ami du peuple, ou, le Publiciste parisien : journal politique, libre et impartial",1789,1789,1799,,still image,,7
"The ghost! : as produced in the spectre drama, popularly illustrating the marvellous optical illusions obtained by the apparatus called the Dircksian phantasmagoria : being a full account of its history, construction, and various adaptations",1863,1863,,,,,1
Paintings at the NYPL,,,,,still image,Oil paintings,7
Arts & decoration.,,,,,,,1
"A journey from Aleppo to Jerusalem, at Easter, A. D. 1697.",1707,1707,,,still image,Engravings,8
National police gazette,1845,1845,1977,English,text | still image,Periodicals,3
Views of interesting places in the Holy Land...,18--,,,,still image,,8
Miscellaneous nineteenth century collections.,,,,,,,2
Dance,1850,1850,1995,,still image,Photographs,1
"History of Greece: from the earliest records of that country, to the time in which it was reduced to a Roman province. Illustrated with maps and portraits. For the use of young persons. By Edward Baldwin, Esq., author of Fables, ancient and modern.",1822,1822,,,,,1
"Illustrated description of the Broadway underground railway, with explanatory details and engravings of the atmospheric machinery, pneumatic passenger-car, pneumatic postal dispatch, underground tunneling machine, etc.",1872,1872,,,still image,Wood engravings,9
Hunt-Lenox Globe,1510,1510,,,three dimensional object | cartographic,Globes,11
"The plantation South, 1934-1937, by William C. Holley, Ellen Winston, T. J. Woofter, Jr.",1940,1940,,,still image,Halftone photomechanical prints,1
Arthur Alfonso Schomburg collection,,,,,still image,Photographs,5
Lilliputian humorists : drawn as big as life,1730,1730,,,still image,Engravings,9
Shaker manuscript collection,1780,1780,1952,English,text | still image,Documents | Drawings,4
"Harry A. Williamson papers : additions, 1881-1962.",1881,1881,1962,,text | still image,Clippings | Documents | Portraits,1
"Photographic views of the construction of the Woolworth Building, 233 Broadway, New York City",1911,1911,1912,,still image,,10
"A system of aeronautics, comprehending its earliest investigations, and modern practice and art: Designed as a history for the common reader, and guide to the student of the art. In three parts. Containing an account of the various attempts in the art of flying by artificial means, from the earliest period down to the discovery of the aeronautic machine by the Montgolfiers, in 1782, and to a later period. With a brief history of the author's fifteen years' experience in aerial voyages. Also, full instructions in the art of making balloons",1850,1850,,,still image,Engravings,10
Ella Baker papers,1926,1926,1986,English,text,Documents,1
Brazil Miscellaneous Collections,1751,1751,1845,Portuguese | Spanish,text,Laws | Expense accounts | Documents | Registers,8
Benjamin K. Miller collection of United States stamps,1845,1845,1926,,still image | text,Postage stamps,2
"Ivan Black papers, 1887-1979 (bulk 1937-1978)",,,,,text | still image,Archival materials,1
A Geographical Present: Being Descriptions of the Several Countries of Africa.,1831,1831,,,still image,,11
"Travels in South Africa, undertaken at the request of the London Missionary Society; being a narrative of a second journey in the interior of that country.",1822,1822,,,still image,,11
Music Division clipping file.,,,,,,Clippings,2
Ad Alexandrvm VII ... Obelisci aegyptiaci : nuper inter Isaei romani rudera effossi interpretatio hieroglyphica,1666,1666,,,still image,Engravings,11
Photos of scenes in Arizona & New Mexico,1883,1883,,English,still image,Photographs | Pictorial works | Sample books,3
Visual materials from the Carl H. Pforzheimer Collection,,,,,still image,,2
"Mattachine Society, Inc. of New York records",1951,1951,1976,,,,1
Horace Grant Healey penmanship collection,1878,1878,1911,English,still image,Posters | Drawings | Calligraphy,4
"Voyage a Meroe, au fleuve Blanc, au-dela de Fazoql dans le midi du royaume de Sennar, a Syouah et dans cinq autres oasis; fait dans les annees 1819, 1820, 1821 et 1822.",1826,1826,1827,,still image,,12
Les travaux publics de la France ... par MM. F. Lucas et V. Fournié--Ed. Collignon--H. de Lagrené--Voisin Bey--E. Allard. Ouvrage publié sous les auspices de Ministère des travaux publics et sous la direction de M. Léonce Reynaud ...,1883,1883,,,,Photographs,12
"Imported French fabrics, E. Meyer & Co., Paris; fall, 1930-1931.",1931,1931,,,still image,,12
"Vetvstissimae... tabvlae aeneae Aegyptiorvm literis Bembi Mvsaeo an. M.D.LIX. aeneas ac Imp. Caes. Ferdinando denvo pvblicae vtilitatis ergo e tenebris in lvcem, opera et indvstria Iacobi Franci... Hieroglyphicis caelatae typvs Vicvs Parmensis ...prodit.",1600,1600,,,still image,Engravings,12
Gansevoort-Lansing collection,1650,1650,1919,,,,8
Jerome Robbins Dance Division clipping file,,,,,,Clippings,1
Picture of slavery in the United States of America.,1834,1834,,,still image,Engravings,12
Original drawings,,,,,still image,,12
"Travels in South America during the years 1819, 1820, 1821; containg an account of the present state of Brazil, Buenos Ayres, and Chile.",1825,1825,,,still image,,12
The judge.,1881-,1881,,,,,2
"Wall drawings and monuments of El Kab. The tomb of Sebeknekht, by J. J. Tylor; with plan, sections, and architectural notes by Somers Clarke.",1896,1896,,,still image,Lithographs -- Color,13
Chinese paintings on rice paper illustrating the treatment of crime in China.,,,,,still image,Gouaches,13
"Second voyage dans l'interieur de l'Afrique, par le cap de Bonne-esperance, dans les annees 1783, 84 et 85. Tome Premier.",1795,1795,,,still image,,13
Cartographic materials from the Emmet Collection of Manuscripts Etc. Relating to American History.,,,,,,,13
Tipy naselenii Penzenskoi gubernii,1862,1862,,,still image,Albumen prints -- Hand-colored,13
"Voyages au Pérou, faits dans les années 1790 à 1794. Collection de planches.",1809,1809,,,still image,,14
"Travels to discover the source of the Nile, in the years 1768, 1769, 1770, 1771, 1772, & 1773.",1805,1805,,,still image,,14
"Enter. Wash dress fabrics, MDCCCCIIII.",1904,1904,,,still image,Chromolithographs,14
Slavery,[1857?]-1997,1857,,,still image,,1
Billy Rose Theatre Division cabinet file,,,,,,,13
Album de la construction de la Statue de la Liberté.,1883,1883,,,still image,,15
Vospominanie ob Otechestvennoi voinie 1812 g.,1883,1883,,,still image,Lithographs,15
Views of the Adirondack Mountain region,1838,1838,,,still image,Prints,15
"Jerusalem; viaje pintoresco, romantico y caprichoso por Grecia,  Asia Menor, Tierra Santa, Egipto y Espana ... original de S. de Mobellan, c. de Casa-Fiel. Ilustrado por Eusebio Planas ....",1876,1876,,,still image,,15
Black America,1929,1929,,English,still image | text,Books | Photographs,15
Detroit Publishing Company postcards,1898,1898,1931,,still image,Postcards,5780
Folk beliefs of the southern Negro.,1926,1926,,,still image,Halftone photomechanical prints,15
Léon-Gontran Damas photograph collection.,,,,,still image,Photographs,1
"Description of the ruins of an ancient city, discovered near Palenque ...",1822,1822,,,still image,Lithographs,15
Theatre arts.,1916,1916,1964,,,,2
"Camp Shows Publicity Records,",,,,,,,1
Architectural forum,1892,1892,1974,English,text | still image,Periodicals,8
"Robert Louis Stevenson collection of papers, [1873]-[1944] bulk (1881-1917).",1873,1873,1944,,text | still image,Manuscripts | Typescripts | Correspondence | Documents | Portraits,2
Circus and magic posters,,,,,,,1
American architect and architecture,1876,1876,1938,English,still image | text,Periodicals | Periodical illustrations,11
"Mitla. A narrative of incidents and personal adventures on a journey in Mexico, Guatemala, and Salvador in the years of 1853 to 1855. With observations on the modes of life in those  countries. By. G. F. von Tempsky. Edited by J. S. Bell ...",1858,1858,,,still image,,16
"Description de l'Égypte : ou, Recueil des observations et des recherches qui ont été faites en Égypte pendant l'expédition de l'armée française.",1809,1809,1828,,still image,Engravings,903
Helen Armstead-Johnson theater photograph collection.,[189-?]-[199-],,,,still image,Photographs | Postcards,1
"A new general collection of voyages and travels; consisting of the most esteemed relations, which have been hitherto published in any language; comprehending everything remarkable in its kind, in Europe, Asia, Africa, and America.",1745,1745,1747,,still image,Books | Prints,229
Migration One-offs.,3-Sep-02,,,,still image,Photographs | Illustrations,1
L'Art arabe d'après les monuments du Kaire depuis le VIIe siècle jusqu'à la fin du XVIIIe par Prisse d'Avennes.,1877,1877,,,still image,Books | Illustrations | Prints,212
Illustrations of Indian zoology; chiefly ... from the collection of Major-General Hardwicke ...,1830,1830,1834,,still image,Books | Illustrations,210
Revoluční sborník Devětsil,1922,1922,,,text,Books,208
Published music.,,,,,notated music | still image,Sheet music | Sheet music covers,1
German World War I photographic postcards.,,,,,still image,Gelatin silver prints | Postcards,197
"Reichenbachia. Orchids illustrated and described, by F. Sander ... 1st[-2d] Series.",1888,1888,1894,,still image,Chromolithographs | Prints | Books,196
"Album du bal costume au Palais d'hiver, Fevrier 1903. 21 photogravues et 174 [i.e. 173] phototypies ...",1904,1904,,Russian | French,still image,Books | Prints | Photogravures | Collotypes | Photomechanical prints,193
"Memoir, prepared at the request of a committee of the Common council of the city of New York, and presented to the mayor of the city, at the celebration of the completion of the New York canals.",1826,1826,,,still image,Books | Prints | Illustrations | Maps | Plans | Portraits,181
Military,1860,1860,1989,,still image,Photographs,7
Education.,1900,1900,1990,,still image,Gelatin silver prints,1
"Harry A. Williamson papers, 1831-1965",1831,1831,1965,English,,Documents,6
Lilliputian characters,173-?,,,,still image,Engravings,17
Chronik des Constanzer Concils,1460,1460,,"German, Middle High (ca. 1050-1500)",still image | text,chronicles,21
"Reize naar de oost- en westkust van Zuid-Amerika en, van daar, naar de Sandwichs- en Philippijnsche eilanden, China enz, gedaan,in de jaren 1826, 1827, 1828 en 1829 ... Door J. Boelen, Joh. zoon ...",1835,1835,1836,,still image,,18
"Wall drawings and monuments of El Kab. The tomb of Renni, by J. J. Tylor; with plans, elevations and notes by Somers Clarke, and with an introduction by F. Ll. Griffith.",1900,1900,,,still image,Photolithographs,18
Costume of the lower orders of the metropolis,1820,1820,,,still image,Engravings -- Hand-colored,18
"Central park in 1862. [Collection of photographs in portfolio, without text] Published by special permission of the commission.",1862,1862,,,still image,Albumen prints,18
"Edward Harrigan papers, 1871-1984",1871,1871,1984,English,text,Documents | Correspondence | Clippings,1
"Wall drawings and monuments of El Kab, The tomb of Paheri, by J. J. Tylor; with an introduction by F. Ll. Griffith.",1895,1895,,,still image,Collotypes,19
Palestine.,1857,1857,,,still image,Albumen prints,19
Palestine and Syria.,187-188-,,,,still image,Albumen prints,19
Philip Schuyler papers,1684,1684,1851,English | Dutch,text | still image,,1
Hakubyô Genji monogatari emaki = Black-and-white handscrolls of the Tale of Genji,1554,1554,,,still image | text,Scrolls (Visual works) | Illustrations,141
"Picturesque views of American scenery, 1820.",1819,1819,1821,,still image,Aquatints -- Hand-colored,19
"A description of some ancient monuments, with inscriptions, still existing in Lydia and Phrygia, several of which are supposed to be tombs of the early kings",1842,1842,,English,still image,Lithographs,19
"Wall drawings and monuments of El Kab. The temple of Amenhetep III, by J. J. Tylor; with plans, elevations and notes by Somers Clarke.",1898,1898,,,still image,Collotypes,19
"Harlem, Mecca of the new Negro",1925-03,1925,,English,still image,Periodicals,1
Edward Thomas collection of papers,1892,1892,1939,English,text,Correspondence | notebooks | Typescripts,2
Punch,1841,1841,2002,English,still image | text,Periodicals,1
"Glimpses of Africa, West and Southwest coast ; containing the author's impressions and observations during a voyage of six thousand miles from Sierra Leone to St. Paul de Loanda and return, including the Rio del Ray and Cameroons rivers, and the Congo River, from its mouth to Matadi.",1895,1895,,,still image,,3
Bilder aus Mekka...,1889,1889,,,still image,,20
The Bruno Walter papers,1887,1887,1966,,,Correspondence | Photographs | scores,4
Theodore Winthrop papers,1844,1844,1860,English,text,Correspondence | writings | Diaries | notebooks,6
"Egypt, a collection of views : photographs",186-,,,,still image,Albumen prints,20
[The Hudson River Portfolio],1820,1821,1825,,still image,Aquatints -- Hand-colored,20
[Ketubbot.],1629,1629,1881,,,,1
Chinese paintings.,,,,,still image,Gouaches,21
Harry A. Williamson Photograph Collection.,1860,1860,1965,,still image,,1
Popular instrumental sheet music.,,,,,,,18
"Golden Jubilee of the General Association of Colored Baptists in  Kentucky : The Story of 50 Years' Work from 1865 - 1915. Including many photos and sketches, compiled from  unpublished manuscripts and other sources ...",1915,1915,,,still image,,2
"Zoological lectures delivered at the Royal institution in the years 1806 and 1807, by George Shaw.",1809,1809,,,,Books | Prints | Illustrations,169
"Anne Wagner album, 1795-1834",1795,1795,1834,English,still image | text | three dimensional object,Autograph albums | Scrapbooks,168
"William Henry Jackson papers, 1862-1942",1862,1862,1942,,text | mixed material | still image,Archival materials | Diaries | Photographs,75
"Report of a special commission designated by the Senate to ascertain the best means for the transportation of passengers in the city of New York. Albany, January 31, 1867.",1867,1867,,,still image,Wood engravings,21
Qisas al-Anbiyâ  = The Legends of the Prophets.,18 Shawwâl 984 [8 January 1577],1577,,,still image,,22
"The oriental album: twenty illustrations, in oil colors, of the people and scenery of Turkey, with an explanatory and descriptive text. By Rev. Henry J. Van Lennep.",1862,1862,,,still image,Lithographs -- color,22
"Histoire de l'art egyptien : d'après les monuments, depuis les temps plus reculés jusqu'a la domination romaine.",1878,1878,,,still image,Books | Prints | Illustrations,166
De consolation,1440,1440,1460,,still image,,4
Kaishien gaden = The mustard seed garden painting manual.,1753,1753,,,still image,Prints | Illustrations | Books,164
History and progress of the steam engine: with a practical investigation of its structure and application,1830,1830,,English,still image | text,Books | Illustrations,21
Russian ballet dancers in photographs,1870,1870,1890,Russian,still image,Photographs | Carte de visite photographs,1
The punishments of China : illustrated by twenty-two engravings : with explanations in English and French.,1804,1804,,,still image,Engravings,23
Au cirque : vingt-deux dessins aux crayons de couleur.,1905,1905,,,,,3
Musee des anciens costumes turcs de Constantinople.,1850,1850,,,still image,,23
Robert Moses papers,1912,1912,1980,,,Correspondence | speeches | press releases | reports | Plans | Clippings | Photographs,1
A half century of freedom of the Negro in Ohio.,1915,1915,,,still image,,23
Maps of North and South America,,,,,,,23
Ladies' dress shoes of the nineteenth century,1900,1900,,,still image,Lithographs -- Color,24
Tai ping tian guo yun dong yuan shi zi liao ji,1852,1852,1861,,text,Pamphlets,24
Atlante del basso ed alto Egitto,1835,1835,1837,,still image,Books | Illustrations | Prints,162
"The antiquities, natural history, ruins and other curiosities of Egypt, Nubia and Thebes. Exemplified in near two hundred drawings taken on the spot. By Frederic Lewis Norden.",1780,1780,,,still image,Engravings | Illustrations | Books,162
"The industrial arts of the nineteenth century. A series of illustrations of the choicest specimens produced by every nation, at the Great Exhibition of Works of Industry, 1851 ... By M. Digby Wyatt ...",1851,1851,1853,,still image,Lithographs | Chromolithographs | Illustrations | Books,162
Margaret E. Lynn Army Music and Theatre Collection 1967-1978,1949,1949,1978,English,text | still image,Photographs | Scrapbooks | Clippings,1
"Henry David Thoreau Papers, 1837-1917 bulk (1837-1860)",1837,1837,1917,English,mixed material,Archival materials,1
"The Sundhya or the Daily Prayers of the Brahmins. Illustrated in a series of  original drawings from nature, demonstrating their attitudes and different signs and figures performed by them during the Ceremonies of their Morning Devotions, Poojas, etc.",1851,1851,,,still image,Lithographs -- Color,25
Costume of the lower orders of London.,1820,1820,,,still image,Engravings -- Hand-colored,25
"Voyage à l'oasis de Thèbes et dans le déserts situés à l'orient et à l'occident de la Thébaïde, fait pendent les années 1815, 1816, 1817 et 1818, par M. Frédéric Cailliaud (de Nantes) redigé et publié par M. Jomard ... contenant, 1°. Le voyage à l'oasis du Dakel, par M. le chevalier Drovetti ... 2°. Le journal du premier voyage de M. Cailliaud en Nubie; 3°. Des recherches sur les oasis, sur les mines d'émeraude, et sur l'ancienne route du commerce entre le Nil et la mer Rouge; accompagné de cartes et de planches, et d'un recueil d'inscriptions.",1821,1821,,,still image,Etchings,25
Souvenirs d'Egypte,1851,1851,,,still image,Lithographs -- Color,26
"Sketches of character and costume in Constantinople, Ionian Islands &c. from the original drawings made on the spot by Capt'n. Forbes Mac Bean, 92nd Highlanders, lithographed by J. Sutcliffe",1854,1854,,,still image,,26
Catlin's North American Indian portfolio. Hunting scenes and amusements of the Rocky mountains and prairies of America.,1845,1845,,,,,26
"Theatrum machinarum novum : exhibens aquarias, alatas, iumentarias, manuarias; pedibus, ac ponderibus versatiles, plures, et diversas molas, variis frumentis commolendis, chartæ, & nitrato pulveri apparando, diversis tundendis, serrandis, terebrandis, panno constipando, decorando, aliisquè usibus destinatas, adaptatas ... annexis prætereà organorum, utensilium necessariorum, & utilium, ad hæc apparanda, figuris & explicationibus ...",1662,1662,,,,Prints,155
The highlands of Ethiopia.,1845,1845,,,still image,,26
Pen and ink drawings for The Wizard of Oz by Frank L. Baum.,1901,1901,,,still image,Ink drawings,27
"Voyage pittoresque et historique au Brésil, ou Séjour d'un artiste français au Brésil, depuis 1816 jusqu'en 1831 inclusivement, epoques de l'avènement et de l'abdication de S. M. D. Pedro 1er, fondateur de l'Empire brésilien. Dédié à l'Académie des Beaux-Arts de l'Institut de France.",1834,1834,1839,,still image,Chromolithographs | Lithographs,152
"Album of photographs depicting the construction of the Broadway line, New York City Subway.",1901,1901,,,still image,Photographic prints,27
"La géographie sacrée, et les monuments de l'histoire sainte.",1784,1784,,,still image,Engravings,27
Chinese water color paintings,1850,1850,,,still image,Watercolors,28
"Costumes collected in Italy by Stewart Watson, R.S.A. Two hundred drawings &c of costumes.",1840,1840,,,still image,Pencil works | Transfer lithographs,152
Character & costumes of Afghaunistan,[]1843],1843,,,still image,Lithographs -- Color,28
Viaggio nel Basso ed Alto Egitto.,1808,1808,,,still image,Lithographs,152
Jerome Robbins Dance Division souvenir program files.,,,,,,,1
L'Égypte et la Nubie : grand album monumental historique architectural.,1887,1887,,,still image,Collotypes | Prints,151
"Antiquités de la Nubie, ou, Monumens inédits des bords du Nil, situés entre la première et la seconde cataracte, dessinés et mesurés, en 1819, par F.C. Gau ... Ouvrage faisant suite au grand ouvrage de la Commission d'Égypte; dédié au roi.",1822-[27],1822,,,still image,Books,150
Maps of the Oceans,,,,,,,24
Fables,1480,1480,,,still image,Books | Illustrations,150
"Sketches in Afghaunistan, by Jas. Atkinson, esq.",1842,1842,,,still image,,29
Illustrated circular [advertisments from J.L. Mott Iron Works],1877,1877,1893,,,Books | Illustrations,148
"Samuel Langhorne Clemens collection of papers, 1856-1938 (bulk 1870-1938)",1856,1856,1938,English,text | still image | mixed material,Manuscripts | Typescripts | Documents | Correspondence | Pictorial works,1
"Florence Kelley papers, 1836-1932 (bulk 1881-1932).",1836,1836,1932,,,Correspondence | Scrapbooks | Photographs | Ephemera,1
"The history of the coronation of ... James II ... King of England, Scotland, France and Ireland, and of ... Queen Mary ... in ... Westminster ... the 23 of April ... 1685 ...",1687,1687,,,still image,Engravings,30
Voyage dans la Basse et la Haute Egypte ... .,1829,1829,,,still image,Etchings | Books,144
The spring book of B. Kuppenheimer & Co. : illustrating a new century of clothing-radically different from the old-and incidentally depicting the more striking changes in men's wear during the past one hundred years.,1900,1900,,,still image,,30
Yosemite : a collection of views.,1861,1861,1866,,still image,Photographs,31
"Slavery & Abolition Collection, 1700-1890",1700,1700,1890,English,text,,3
"The costumes of the various tribes, portraits of ladies of rank, celebrated princes and chiefs, views of the principal fortresses and cities, and interior of the cities and temples of Afghaunistaun.  From original drawings by James Rattray.",1848,1848,,English,still image | text,Prints,31
"Sketches for Frank Leslie's Illustrated Newspaper : 138 original drawings of the Civil War by staff artists, 1861-1864.",1861,1861,1864,,still image,Pencil works | Sketches,136
Shâhnâmah  = The Book of Kings.,Rajab 1025 [July 1616],1025,,,still image,illuminated manuscripts | Illuminations | Manuscripts,135
Billy Rose Theatre Collection program file,1750,1750,,English,still image | text,Theater programs,46
Siyar-i Nabî = Life of the Prophet,1003 [1594-1595],1003,,,still image,illuminated manuscripts | Illuminations | Manuscripts,133
"Views of Egypt, Palestine and Syria",1867,1867,1871,,still image,Photographs,32
Grenada Plantation Records,1737,1737,1845,French | English,text,Deeds | Slave records | Documents | Correspondence,109
Organizations.,1895,1895,1985,,still image,Photographs,5
Tarjumah-i Shâhnâmah  [Translation of Shâhnâmah into Turkish],1026-1030 [1616-1620],1026,,,still image,Chromolithographs | Lithography,130
"Oriental album. Characters, costumes, and modes of life, in the valley of the Nile.",1851,1851,,,still image,Prints | plates (illustrations),32
"Abbildungen der jagtbaren Thiere mit derselben angefuegten Faehrten und Spuhren, Wandel, Gaenge, Abspruenge, Wendungen, Widergaengen, Flucht, und anderer Zeichen mehr mit vielem Fleiss, Zeit und Muehe nach der Natur gezeichnet, samt einer Erklaerung darueber. Verfertiget und herausgegeben von Johann Elias Ridinger.",1740,1740,,,still image,Engravings,129
Egypt & Nubia,1846,1846,1849,,still image,Lithographs | hand coloring,1
Incidents of travel in Yucatan. By John L. Stephens ... Illustrated by 120 engravings....,1843,1843,,,still image,Etchings | Engravings | Illustrations,127
"Egypte, Nubie, Palestine et Syrie : dessins photographiques  recueillis pendant les années 1849, 1850 et 1851....",1852,1852,,,still image,Albumen prints | Salted paper prints | Photographs | Prints,127
Shâhnâmah = Book of Kings. (First half of manuscript only),ca. 1133-1138 [1720-1725],1133,,,still image,,1
Ise monogatari = The Tales of Ise.,1608,1608,,,still image,Inscriptions | Books | Illustrations,125
"Oriental album. Characters, costumes, and modes of life, in the valley of the Nile.",1851,1851,,English,still image | text,Rare books | plates (illustrations) | Prints,32
"L'architecture et la décoration aux palais de Versailles et des Trianon, sous la direction de m. Paul Favier ...",,,,,still image,Books | Photographs,125
"Drawings of Florentine painters, classified, criticised, and studied as documents in the history and appreciation of Tucson [sic] Art. With a copious Catalogue raissonné.",1903,1903,,,still image,Pencil works | Drawings,125
L'aéronautique des origines à 1922,1922 (D. Jacomet),1922,,,,Etchings | Manuscripts | Engravings | Portraits | Drawings,115
Collection of Egyptian antiquities,1822,1822,,English,still image,Prints,32
Abydos; description des fouilles exécutées sur l'emplacement de cette ville ...,1869,1869,1880,,still image,Lithographs,123
"Histoire naturelle des oiseaux de paradis et des rolliers, suivie de celle des toucans et des barbus, par Francois Levaillant....",1806,1806,,,still image,Chromolithographs,116
"Retratos de los Españoles ilustres, con un epítome de sus vidas.",1791,1791,,,still image,Engravings | Portraits,115
The Hispanic American historical review,1926,1926,1922,English | Spanish,text,Periodicals,1
Arabische und Alt-Italienische Bau-Verzierungen,1842,1842,,,still image,Engraving | Chromolithographs,122
"Avery Willard photographs, 1919-1993, (bulk 1940-1970)",1919,1919,1993,,still image,Photographs,1
"Entrance gates, railings, etc.",1904,1904,,,still image,Pencil works | Engraving,113
"Voyage autour du monde sur la fregate la Venus, pendant les annees 1836-1839 : publie par ordre du roi, sous les auspices du ministre de la marine",1840,1840,1864,,,,112
United States Work Projects Administration (WPA) collection of prints,1935,1935,1943,,still image,Prints,21
Ise Monogatari Emaki = Tales of Ise,1501,1501,1599,,,Manuscripts | Illuminations | illuminated manuscripts,109
The Charrington set : a collection of prints by Giovanni Battista Piranesi.,1748,1748,1751,,still image,Etchings,104
Franklin Car.,,,,,still image | text,Design drawings | Diagrams | Prints,103
Music Division Iconography Collection,,,,,still image,Portraits,1
Photographs and prints of Egypt and Syria,1860,1860,1929,,still image,Photographs,42
The single tax: scrapbook with photographs.,1800,1800,1899,,still image,Portraits | Etchings | Photographs,109
"Fifth Avenue, New York, from start to finish",1911,1911,,,still image,Photographs,84
Cartes-de-visite collection.,,,,,still image,Cartes de visite | Photographs,85
L'art du menuisier,1769,1769,,,still image,Engravings | Books,107
[The Westmoreland manuscript of the poems of John Donne],1605,1605,,,text,,107
"Julia Conyers album, ca. 1769-1830",1769,1769,1830,English,still image | text,Scrapbooks,102
"The monuments of Nineveh, from drawings made on the spot. By Austen Henry Layard, Esq., D.C.L. Illustrated in one hundred plates.",1849,1849,,,still image | text,Prints | color lithographs,105
"Les modes féminines du XIXe siècle, interprétées en cent pointes sèches aquarellées au pinceau, 1801-1900",1902,1902,,,still image,Drypoints | Prints,105
"Ordnance survey of Jerusalem, made with the sanction of the Earl de Grey and Ripon, Sec. of State for War, under the direction of Col. Sir Henry James",1865,1865,,,still image,Photographs,46
"Recueil de cent estampes representant differentes nations du Levant, gravees sur les tableaux peints d'apres nature en 1707 & 1708 par l'ordre de M. de Ferriol ... et mis au jour en 1712 & 1713 par les soins de M. Le Hay.",1714,1714,,,still image,Engravings,104
Billy Rose Theatre Collection Iconography file.,,,,,still image,Prints | Clippings,7
Plates illustrative of the researches and operations of G. Belzoni in Egypt and Nubia.,1820,1820,,English,still image,Prints,43
"Indian coloured drawings : a collection of 177 original paintings on ""talc,"" etc., with 17 engravings, illustrating costume, vehicles and trades in India.",1780,1780,1858,,still image,Drawings | Prints,135
Caldrons and kettles,1920,1920,1930,English,still image | text,Prints | Trade catalogs,104
The grammar of ornament,1856,1856,,,still image,Lithographs -- Color,1
Studies of a modern manufacturing plant.,1944,1944,,,still image,Halftone photomechanical prints,81
Materīaly po istorīi russkoĭ kartografīi,1899,1899,,,still image | cartographic,Engravings,104
"Turris Babel, sive Archontologia qua primo priscorum post diluvium hominum vita, mores rerumque gestarum magnitudo, secundo Turris fabrica civitatumque extructio, confusio linguarum ...",1679,1679,,Latin,text | still image,Rare books | Illustrations,45
"Historische inschriften altägyptischer denkmäler. 2. folge, nebst einigen geographischen und mythologischen inschriften, gesammelt und herausgegeben von Johannes Duemichen.",1869,1869,,,still image,Lithographs,80
William H. Meyers diary,1838,1838,1839,English,text | still image,Diaries | Archival materials,33
Supplement to Apartment houses of the metropolis.,1909,1909,,,,,80
Mekka,1888,1888,1889,,still image | text,Books | Prints | Photographs,44
The fishes of North America that are captured on hook and line. With eighty colored plates made from oil portraits of living fishes before their color tints had faded. By William C. Harris ... Volume I.,1898,1898,,English,still image,Books | Prints,44
"William S. Burroughs papers, 1951-1972 bulk (1958-1972).",1951,1951,1972,English,text | still image,Archival materials | Manuscripts | Correspondence | Photographs,3
"Robert Fulton papers, 1790-1813",1790,1790,1813,,text,Documents,102
Japan.,1880,1880,1890,,still image,Photographs,102
Occupations.,1910-1990 (bulk 1930-1960),1910,,,,,2
Motion Picture Stills Collection,,,,,,Film stills,9
"Shivery family papers, 1865-1974",1865,1865,1974,English,text,Documents | Correspondence | Scrapbooks,35
Chinese drawings.,,,,,still image,,79
Collection of photographs of Egypt and Nubia,1860,1860,1869,,still image,Photographs,43
Album of photographs of Japan.,1890,1890,1899,,still image,Photographs | Photograph albums,43
Slavery times in Kentucky.,1940,1940,,English,still image | text,Illustrated books | Books,28
New York (City) Museum of Modern Art photographs,,,,,still image,Photographs,65
Egypt and Palestine.,1858,1858,1859,,still image,Albumen prints,1
Des cleres et nobles femmes.,1450,1450,,,still image,,78
"The book of decorative furniture, its form, colour, & history",1910,1910,1911,,still image,Drawings | Illustrations,101
The colored American from slavery to honorable citizenship,1903,1903,,English,still image | text,Books | Biography--Dictionaries | Portraits,42
Indian photographs,1900,1900,1952,,still image,Photographs,79
Décoration  Égyptienne. Plafonds et Frises Végétales du Nouvel  Empire Thébain....,1911,1911,,French,still image | text,Books | Prints,42
"Catalogue D. The bath room illustrated, also fixtures for laundry, kitchen & butler's pantry, by the J.L. Mott Iron Works ... New-York. (1884)",1884,1884,,,still image,,78
"Architecture arabe; ou Monuments du Kaire, mesurés et dessinés, de 1818 à 1825, par Pascal Coste.",1839,1839,,,still image,Lithographs | Engravings,100
"Jérusalem : étude et reproduction photographique des monuments de la Ville Sainte, depuis l'époque judaïque jusqu'à nos jours.",1856,1856,,French,still image,Photographs,42
"Souvenir of Negro progress: Chicago, 1779-1925.",1925,1925,,,still image,Halftone photomechanical prints,61
"Manners and customs of the ancient Egyptians, including their private life, government, laws, art, manufactures, religions, and early history; derived from a comparison of the paintings, sculptures, and monuments still existng, with the accounts of ancient authors. Illustrated by drawings of those subjects. By J.G. Wilkinson.",1837,1837,,,still image,Lithographs | Illustrations,100
