Demographic,Borough,Cohort,Total Cohort,Total Grads,Total Regents,Advanced Regents,Regents w/o Advanced ,Local,Still Enrolled,Dropped Out
Asian,Bronx,2002,681,497,451,350,101,46,132,39
Asian,Brooklyn,2002,2676,1765,1557,1052,505,209,556,327
Asian,Manhattan,2002,1748,1374,1224,706,518,151,239,90
Asian,Queens,2002,4613,3073,2538,1349,1189,537,948,482
Asian,Staten Island,2002,319,265,222,141,81,44,35,15
Black,Bronx,2002,3965,1717,945,143,802,774,1415,639
Black,Brooklyn,2002,9789,4435,2591,586,2005,1852,3438,1428
Black,Manhattan,2002,4045,2060,1276,223,1053,789,1261,591
Black,Queens,2002,4800,2284,1368,295,1073,917,1512,788
Black,Staten Island,2002,686,334,203,39,164,132,225,90
Hispanic,Bronx,2002,6623,2606,1325,228,1097,1286,2351,1378
Hispanic,Brooklyn,2002,4662,1803,937,236,701,867,1649,1052
Hispanic,Manhattan,2002,5985,2974,1823,379,1444,1155,1857,965
Hispanic,Queens,2002,5952,2656,1822,476,1346,835,1941,1154
Hispanic,Staten Island,2002,731,349,228,51,177,121,217,133
White,Bronx,2002,696,473,379,267,112,94,130,73
White,Brooklyn,2002,3619,2315,1952,987,965,364,701,547
White,Manhattan,2002,1640,1319,1162,561,601,157,189,87
White,Queens,2002,2839,1833,1509,712,797,325,539,383
White,Staten Island,2002,2389,1768,1384,628,756,384,364,187
Female,Bronx,2002,5835,2921,1652,474,1178,1273,1832,880
Female,Brooklyn,2002,10253,5723,3861,1534,2327,1867,2827,1388
Female,Manhattan,2002,7277,4652,3265,990,2275,1394,1645,806
Female,Queens,2002,8976,5511,4032,1695,2337,1484,2091,1124
Female,Staten Island,2002,2023,1426,1092,461,631,335,341,186
Male,Bronx,2002,6197,2407,1466,518,948,944,2215,1260
Male,Brooklyn,2002,10555,4614,3189,1331,1858,1431,3541,1981
Male,Manhattan,2002,6186,3094,2232,882,1350,865,1916,937
Male,Queens,2002,9286,4358,3218,1142,2076,1140,2870,1692
Male,Staten Island,2002,2111,1295,948,400,548,348,503,240
Borough Total,Bronx,2003,13632,6389,3861,1255,2606,2528,4258,2472
Borough Total,Brooklyn,2003,21334,11064,7711,3239,4472,3353,6571,3198
Borough Total,Manhattan,2003,13879,7613,5499,2527,2972,2114,4240,1729
Borough Total,Queens,2003,18415,10455,7917,3395,4522,2538,4869,2718
Borough Total,Staten Island,2003,4218,2812,2169,883,1286,643,919,374
English Language Learners,Bronx,2003,1905,391,95,12,83,296,790,586
English Language Learners,Brooklyn,2003,1899,448,217,82,135,231,849,542
English Language Learners,Manhattan,2003,1761,489,195,51,144,294,751,453
English Language Learners,Queens,2003,2127,579,314,112,202,265,857,621
English Language Learners,Staten Island,2003,201,74,46,5,41,28,73,36
English Proficient Students,Bronx,2003,11727,5998,3766,1243,2523,2232,3468,1886
English Proficient Students,Brooklyn,2003,19435,10616,7494,3157,4337,3122,5722,2656
English Proficient Students,Manhattan,2003,12118,7124,5304,2476,2828,1820,3489,1276
English Proficient Students,Queens,2003,16288,9876,7603,3283,4320,2273,4012,2097
